Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,7600.049805,7650.000000,7521.200195,7631.700195,7228.955566,6334
2018-11-19,7667.950195,7700.000000,7551.250000,7630.549805,7227.865234,1610
2018-11-20,7600.000000,7691.000000,7516.049805,7619.700195,7217.588379,3118
2018-11-21,7599.950195,7600.000000,7526.250000,7542.799805,7144.746582,2540
2018-11-22,7579.950195,7585.000000,7270.200195,7362.750000,6974.197754,4344
2018-11-26,7383.600098,7401.750000,7245.250000,7269.500000,6885.868652,4632
2018-11-27,7270.000000,7270.000000,7161.000000,7189.049805,6809.664551,2838
2018-11-28,7250.000000,7250.000000,7111.200195,7190.250000,6810.801270,5461
2018-11-29,7262.149902,7379.000000,7198.149902,7365.450195,6976.755371,3257
2018-11-30,7380.100098,7473.000000,7305.149902,7420.149902,7028.568848,2451
2018-12-03,7453.950195,7839.700195,7355.000000,7775.549805,7365.214355,8024
2018-12-04,7800.000000,7899.799805,7634.850098,7752.399902,7343.285645,6034
2018-12-05,7753.000000,7755.049805,7575.750000,7656.950195,7252.872559,3007
2018-12-06,7665.450195,7685.000000,7485.000000,7504.049805,7108.041504,1530
2018-12-07,7594.899902,7594.899902,7417.000000,7495.200195,7099.659180,1192
2018-12-10,7420.250000,7469.850098,7271.000000,7394.500000,7004.272461,2720
2018-12-11,7325.000000,7693.100098,7312.149902,7331.350098,6944.455566,4355
2018-12-12,7349.399902,7540.000000,7349.399902,7503.799805,7107.804688,2957
2018-12-13,7505.000000,7624.950195,7476.049805,7508.000000,7111.782715,1727
2018-12-14,7508.049805,7588.950195,7476.049805,7556.000000,7157.249023,1369
2018-12-17,7600.000000,7610.000000,7535.000000,7580.899902,7180.836426,12640
2018-12-18,7648.799805,7650.049805,7490.000000,7504.500000,7108.467285,1470
2018-12-19,7520.000000,7575.000000,7450.000000,7503.750000,7107.757324,2723
2018-12-20,7500.049805,7521.850098,7425.000000,7450.549805,7057.364258,2869
2018-12-21,7450.149902,7495.000000,7385.450195,7410.000000,7018.954102,2398
2018-12-24,7498.000000,7498.000000,7400.100098,7466.250000,7072.235840,3768
2018-12-26,7509.000000,7509.000000,7386.000000,7498.299805,7102.594727,1872
2018-12-27,7507.000000,7545.149902,7460.000000,7469.500000,7075.314941,1743
2018-12-28,7540.000000,7540.000000,7434.000000,7470.950195,7076.687988,1647
2018-12-31,7540.000000,7580.149902,7472.549805,7516.649902,7119.976563,2140
2019-01-01,7550.000000,7598.000000,7455.149902,7580.049805,7180.030273,968
2019-01-02,7580.000000,7580.000000,7506.000000,7527.049805,7129.827637,1013
2019-01-03,7520.299805,7574.000000,7430.000000,7471.950195,7077.635742,1739
2019-01-04,7510.000000,7546.649902,7485.100098,7504.500000,7108.467285,2325
2019-01-07,7520.100098,7575.000000,7520.100098,7574.200195,7174.489746,2894
2019-01-08,7575.000000,7798.000000,7524.200195,7752.049805,7342.954102,6740
2019-01-09,7761.000000,8148.000000,7761.000000,8004.799805,7582.366211,18663
2019-01-10,8011.000000,8200.000000,8011.000000,8113.649902,7685.470215,6160
2019-01-11,8113.649902,8175.850098,8040.950195,8083.450195,7656.865234,6203
2019-01-14,8083.450195,8100.649902,7939.200195,8027.100098,7603.489258,1596
2019-01-15,8025.000000,8144.700195,8025.000000,8111.649902,7683.576660,2973
2019-01-16,8168.000000,8168.000000,8050.000000,8092.049805,7665.010742,2028
2019-01-17,8077.000000,8170.000000,8075.000000,8138.399902,7708.915039,945
2019-01-18,8177.899902,8177.899902,8060.750000,8098.350098,7670.978027,965
2019-01-21,8122.450195,8250.000000,8086.000000,8212.900391,7779.483887,3174
2019-01-22,8203.049805,8241.650391,8160.600098,8212.400391,7779.010742,1183
2019-01-23,8265.000000,8265.000000,8164.299805,8199.950195,7767.217285,1965
2019-01-24,8205.049805,8255.000000,8165.200195,8242.599609,7807.615723,1897
2019-01-25,8249.950195,8273.500000,8200.000000,8205.299805,7772.285156,2332
2019-01-28,8250.000000,8250.000000,7950.000000,8076.299805,7650.091797,3864
2019-01-29,8059.899902,8169.799805,7999.000000,8048.000000,7623.285645,2772
2019-01-30,8079.950195,8080.899902,8010.299805,8042.250000,7617.838867,2067
2019-01-31,8042.250000,8094.950195,8012.100098,8070.100098,7644.218750,2640
2019-02-01,8120.000000,8193.150391,8035.299805,8098.899902,7671.498535,2057
2019-02-04,8070.000000,8174.799805,7971.399902,7993.899902,7572.040527,4290
2019-02-05,7980.000000,8130.049805,7963.899902,8098.000000,7670.646484,2492
2019-02-06,8098.000000,8139.950195,8053.100098,8119.700195,7691.202148,46062
2019-02-07,8129.600098,8325.000000,8099.100098,8238.950195,7804.158691,4141
2019-02-08,8250.000000,8298.799805,7952.000000,8042.000000,7617.602539,3341
2019-02-11,8050.000000,8050.000000,7600.000000,7666.399902,7261.823730,21425
2019-02-12,7700.100098,7787.000000,7640.000000,7754.549805,7345.321777,5889
2019-02-14,7684.250000,7693.850098,7465.350098,7644.750000,7241.316406,5685
2019-02-15,7721.200195,7721.200195,7400.000000,7442.450195,7049.691406,5351
2019-02-18,7500.000000,7500.000000,7211.000000,7264.200195,6880.850098,2938
2019-02-19,7270.049805,7371.950195,7210.500000,7234.750000,6852.952637,2117
2019-02-20,7250.000000,7315.000000,7250.000000,7295.100098,6910.117676,1760
2019-02-21,7295.100098,7310.000000,7176.250000,7246.200195,6863.798828,3112
2019-02-22,7260.149902,7260.250000,7151.200195,7230.549805,6848.975098,3940
2019-02-25,7231.000000,7384.950195,7220.000000,7375.000000,6985.801270,2228
2019-02-26,7302.000000,7380.000000,7262.149902,7359.799805,6971.403809,1961
2019-02-27,7359.950195,7440.000000,7355.000000,7372.700195,6983.623047,4282
2019-02-28,7370.000000,7590.000000,7340.000000,7437.600098,7045.098145,9266
2019-03-01,7429.799805,7435.000000,7313.000000,7333.399902,6946.396484,7366
2019-03-05,7400.000000,7400.000000,7250.000000,7297.350098,6912.249023,7477
2019-03-06,7320.000000,7400.000000,7310.000000,7362.700195,6974.150879,4894
2019-03-07,7360.000000,7400.000000,7261.500000,7280.649902,6896.430176,2927
2019-03-08,7345.000000,7390.000000,7281.399902,7363.850098,6975.239258,3337
2019-03-11,7400.000000,7444.000000,7360.000000,7397.049805,7006.687988,2650
2019-03-12,7395.149902,7487.950195,7345.000000,7355.450195,6967.283203,7505
2019-03-13,7379.899902,7385.000000,7300.000000,7353.149902,6965.104980,7709
2019-03-14,7379.200195,7394.299805,7261.000000,7331.000000,6944.124023,4261
2019-03-15,7330.000000,7374.899902,7275.000000,7291.500000,6906.708008,2273
2019-03-18,7300.049805,7404.000000,7200.000000,7362.299805,6973.771484,16273
2019-03-19,7420.000000,7420.000000,7321.399902,7359.149902,6970.788574,894
2019-03-20,7355.049805,7370.000000,7331.149902,7355.899902,6967.709961,784
2019-03-22,7301.000000,7420.000000,7301.000000,7383.850098,6994.184570,13072
2019-03-25,7389.000000,7419.000000,7317.500000,7399.799805,7009.292969,10833
2019-03-26,7341.200195,7418.950195,7302.000000,7346.450195,6958.757813,4225
2019-03-27,7399.000000,7399.000000,7209.950195,7227.350098,6845.943359,4519
2019-03-28,7259.950195,7331.000000,7242.100098,7274.899902,6890.983398,26845
2019-04-01,7350.000000,7396.549805,7275.000000,7296.850098,6911.775391,37164
2019-04-02,7293.799805,7340.000000,7280.700195,7309.200195,6923.474609,2242
2019-04-03,7310.250000,7370.000000,7310.000000,7329.000000,6942.228516,923
2019-04-04,7321.250000,7330.000000,7236.049805,7260.399902,6877.249512,3341
2019-04-05,7275.000000,7340.000000,7275.000000,7302.200195,6916.844238,1201
2019-04-08,7302.200195,7330.000000,7280.000000,7315.149902,6929.110352,1141
2019-04-09,7313.000000,7379.000000,7300.000000,7332.299805,6945.354980,1381
2019-04-10,7375.000000,7375.000000,7309.950195,7338.250000,6950.991211,959
2019-04-11,7355.000000,7370.000000,7300.000000,7367.700195,6978.887207,2098
2019-04-12,7379.000000,7443.700195,7326.500000,7400.299805,7009.766113,29298
2019-04-15,7428.000000,7900.000000,7428.000000,7827.100098,7414.043457,12336
2019-04-16,7898.700195,8080.000000,7840.000000,8030.500000,7606.708984,12768
2019-04-18,8099.000000,8099.000000,7796.000000,7825.100098,7412.148926,3456
2019-04-22,7770.000000,7813.750000,7668.649902,7715.049805,7307.905762,2227
2019-04-23,7747.799805,7935.000000,7502.000000,7789.850098,7378.758301,5083
2019-04-24,7753.149902,7847.899902,7740.000000,7825.750000,7412.763672,1391
2019-04-25,7825.000000,7890.000000,7613.000000,7640.250000,7237.053223,3733
2019-04-26,7694.000000,7717.000000,7350.000000,7467.500000,7073.419922,4937
2019-04-30,7475.000000,7550.000000,7380.000000,7421.350098,7029.705566,3145
2019-05-02,7425.149902,7486.100098,7400.000000,7420.600098,7028.995117,2239
2019-05-03,7429.950195,7466.899902,7361.299805,7387.950195,6998.068848,1278
2019-05-06,7370.049805,7430.000000,7360.000000,7381.000000,6991.484863,1411
2019-05-07,7420.000000,7430.000000,7252.299805,7287.299805,6902.729980,3922
2019-05-08,7300.000000,7314.000000,7260.000000,7267.899902,6884.354492,7624
2019-05-09,7285.000000,7319.899902,7235.149902,7282.200195,6897.899414,2015
2019-05-10,7282.100098,7310.000000,7265.049805,7276.000000,6892.025879,1088
2019-05-13,7251.000000,7325.000000,7241.000000,7283.850098,6899.462402,4122
2019-05-14,7270.000000,7285.000000,7198.000000,7261.350098,6878.148926,1935
2019-05-15,7277.600098,7300.000000,7221.549805,7274.750000,6890.841797,982
2019-05-16,7298.950195,7299.000000,7160.000000,7191.049805,6811.559570,4140
2019-05-17,7212.000000,7424.000000,7200.000000,7401.700195,7011.092773,2681
2019-05-20,7420.000000,7540.049805,7404.000000,7497.600098,7101.931641,3029
2019-05-21,7540.000000,7835.000000,7497.600098,7696.750000,7290.572754,9070
2019-05-22,7773.700195,7829.000000,7640.700195,7783.649902,7372.885742,2474
2019-05-23,7785.100098,7849.950195,7645.000000,7665.350098,7260.829590,2762
2019-05-24,7770.000000,7941.000000,7709.950195,7909.149902,7491.763184,5151
2019-05-27,7999.850098,8098.000000,7927.399902,8000.950195,7578.719238,11783
2019-05-28,8050.000000,8065.000000,7655.000000,7696.600098,7290.430176,16428
2019-05-29,7749.899902,7839.950195,7737.450195,7806.350098,7394.388672,5816
2019-05-30,7801.000000,7930.000000,7720.049805,7836.799805,7423.230957,27759
2019-05-31,7780.000000,7929.950195,7700.000000,7777.549805,7367.107910,2943
2019-06-03,7791.000000,7910.000000,7711.200195,7884.250000,7468.177246,17758
2019-06-04,7861.000000,7902.000000,7800.000000,7879.049805,7463.251465,5106
2019-06-06,7800.149902,7928.399902,7782.000000,7905.350098,7488.163574,3369
2019-06-07,7807.399902,8010.000000,7801.000000,7965.350098,7544.997070,3506
2019-06-10,7965.000000,8340.000000,7920.149902,8282.450195,7845.362793,11342
2019-06-11,8280.000000,8655.049805,8245.599609,8588.450195,8135.214355,17844
2019-06-12,8600.000000,8700.049805,8550.000000,8609.750000,8155.390625,5761
2019-06-13,8680.000000,8698.799805,8501.250000,8560.650391,8108.881348,3928
2019-06-14,8552.000000,8638.299805,8552.000000,8606.700195,8152.500000,2979
2019-06-17,8638.000000,8638.000000,8501.000000,8511.950195,8062.751465,2261
2019-06-18,8500.000000,8545.000000,8500.000000,8519.700195,8070.092285,2493
2019-06-19,8519.700195,8575.000000,8450.000000,8461.250000,8014.727051,3892
2019-06-20,8472.299805,8472.299805,8272.049805,8419.950195,7975.607422,4777
2019-06-21,8402.000000,8550.000000,8350.000000,8504.150391,8055.363770,1964
2019-06-24,8545.000000,8764.900391,8504.150391,8541.849609,8091.074707,6256
2019-06-25,8600.000000,8600.000000,8500.000000,8557.750000,8106.134277,2575
2019-06-26,8501.000000,8950.000000,8501.000000,8775.799805,8312.677734,8090
2019-06-27,8839.000000,8995.000000,8804.049805,8914.599609,8444.152344,13274
2019-06-28,8920.299805,8950.000000,8725.150391,8887.950195,8418.907227,5041
2019-07-01,8900.000000,9000.650391,8802.000000,8838.049805,8371.642578,3308
2019-07-02,8818.099609,8870.000000,8725.099609,8782.950195,8319.449219,1207
2019-07-03,8726.250000,8844.849609,8726.250000,8802.700195,8338.157227,1366
2019-07-04,8800.000000,8984.000000,8790.049805,8921.150391,8450.357422,3593
2019-07-05,8949.000000,8959.950195,8740.000000,8892.000000,8422.746094,3015
2019-07-08,8804.000000,8849.950195,8600.000000,8677.000000,8219.091797,4193
2019-07-09,8790.000000,8790.000000,8630.049805,8735.400391,8274.409180,1880
2019-07-10,8745.000000,8919.900391,8700.000000,8883.799805,8414.977539,1864
2019-07-11,8882.950195,8975.000000,8853.799805,8916.400391,8445.857422,7062
2019-07-12,8890.000000,8973.750000,8850.000000,8897.250000,8427.718750,9218
2019-07-15,8875.000000,8942.000000,8852.000000,8870.049805,8401.955078,1477
2019-07-16,8870.049805,8912.299805,8764.900391,8779.250000,8315.945313,3763
2019-07-17,8849.500000,8849.500000,8668.099609,8696.150391,8237.230469,1089
2019-07-18,8670.099609,8798.000000,8522.750000,8552.200195,8100.876953,3954
2019-07-19,8556.000000,8645.000000,8500.000000,8572.799805,8120.389648,5249
2019-07-22,8680.000000,8697.849609,8501.000000,8545.250000,8094.292969,5625
2019-07-23,8510.000000,8675.000000,8510.000000,8629.349609,8173.956055,5875
2019-07-24,8675.000000,8675.950195,8517.000000,8629.000000,8173.625000,7720
2019-07-25,8531.000000,8684.799805,8531.000000,8599.349609,8145.538086,4899
2019-07-26,8673.200195,8673.200195,8536.000000,8571.700195,8119.349609,3230
2019-07-29,8677.000000,8677.000000,8411.000000,8441.400391,7995.923828,1624
2019-07-30,8416.000000,8575.000000,8416.000000,8490.799805,8042.717773,7001
2019-07-31,8500.000000,8500.000000,8278.000000,8363.599609,7922.229492,3723
2019-08-01,8326.700195,8491.000000,8300.000000,8447.950195,8002.128906,4155
2019-08-02,8485.000000,8529.000000,8351.250000,8499.299805,8050.769043,3332
2019-08-05,8500.000000,8500.000000,8320.000000,8377.099609,7935.018066,1599
2019-08-06,8325.000000,8476.750000,8325.000000,8438.549805,7993.225098,24272
2019-08-07,8439.000000,8688.000000,8439.000000,8573.250000,8120.815430,2043
2019-08-08,8684.000000,9324.000000,8521.000000,9001.349609,8526.324219,40146
2019-08-09,9099.000000,9427.099609,8961.599609,9048.849609,8571.317383,19832
2019-08-13,9018.400391,9299.000000,8772.950195,9116.799805,8650.021484,17233
2019-08-14,9184.000000,9248.000000,9051.150391,9147.500000,8693.453125,9034
2019-08-16,9147.500000,9198.799805,9095.000000,9114.250000,8661.853516,6541
2019-08-19,9050.849609,9299.000000,9050.799805,9215.400391,8757.982422,7905
2019-08-20,9196.950195,9269.549805,8905.000000,8986.049805,8540.015625,23933
2019-08-21,8956.599609,9114.000000,8900.099609,9001.099609,8554.319336,51632
2019-08-22,9015.000000,9061.099609,8800.000000,8805.549805,8368.476563,8880
2019-08-23,8899.500000,8899.500000,8700.000000,8790.849609,8354.505859,13284
2019-08-26,8899.000000,9275.000000,8840.000000,9230.650391,8772.474609,7374
2019-08-27,9239.849609,9284.950195,9067.250000,9142.950195,8689.129883,6641
2019-08-28,9240.000000,9247.950195,9015.150391,9081.099609,8630.348633,28209
2019-08-29,9021.000000,9110.000000,9015.049805,9090.500000,8639.282227,2979
2019-08-30,9125.000000,9174.000000,9055.150391,9148.599609,8694.497070,4001
2019-09-03,9150.000000,9534.150391,9150.000000,9445.900391,8977.042969,22605
2019-09-04,9450.000000,9600.000000,9440.000000,9508.099609,9036.153320,14708
2019-09-05,9570.000000,9570.000000,9405.000000,9489.799805,9018.761719,5777
2019-09-06,9479.900391,9779.000000,9470.000000,9726.250000,9243.474609,5567
2019-09-09,9675.000000,9999.000000,9675.000000,9944.400391,9450.797852,13588
2019-09-11,9950.000000,9979.900391,9757.000000,9800.549805,9314.086914,17643
2019-09-12,9810.000000,9890.000000,9720.099609,9761.549805,9277.024414,7157
2019-09-13,9721.049805,9887.799805,9721.049805,9833.250000,9345.164063,4298
2019-09-16,9897.950195,10025.099609,9808.000000,9828.650391,9340.793945,14209
2019-09-17,9830.000000,9940.000000,9718.000000,9746.000000,9262.245117,3220
2019-09-18,9775.000000,9960.000000,9775.000000,9936.150391,9442.958984,13899
2019-09-19,9941.799805,9941.799805,9710.000000,9837.299805,9349.014648,32364
2019-09-20,9837.299805,10250.000000,9822.000000,10219.150391,9711.911133,43696
2019-09-23,10400.000000,10950.000000,10400.000000,10716.299805,10184.383789,28089
2019-09-24,10750.000000,10988.799805,10750.000000,10807.450195,10271.010742,6799
2019-09-25,10807.450195,10807.450195,10395.299805,10629.700195,10102.081055,6146
2019-09-26,10673.150391,10998.000000,10672.500000,10922.700195,10380.538086,7417
2019-09-27,10960.000000,10992.200195,10670.000000,10688.799805,10158.249023,12345
2019-09-30,10747.000000,10750.900391,10512.000000,10596.549805,10070.577148,4657
2019-10-01,10575.000000,11070.000000,10555.900391,10861.000000,10321.901367,8170
2019-10-03,10961.000000,11298.000000,10911.000000,10997.849609,10451.958984,13582
2019-10-04,10997.849609,11181.500000,10760.599609,10826.700195,10289.304688,7854
2019-10-07,10896.599609,10950.000000,10600.000000,10662.000000,10132.778320,8334
