Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,92.800003,93.849998,91.500000,92.000000,85.712273,6073063
2018-09-11,92.300003,93.900002,90.250000,90.699997,84.501122,7993270
2018-09-12,91.000000,92.099998,89.150002,91.300003,85.060120,8634365
2018-09-14,92.500000,93.900002,92.050003,93.199997,86.830254,5742873
2018-09-17,93.500000,94.800003,92.000000,93.449997,87.063164,8048159
2018-09-18,92.699997,94.949997,87.599998,89.800003,83.662636,13925708
2018-09-19,90.550003,91.400002,88.500000,90.150002,83.988708,6443158
2018-09-21,91.000000,91.900002,81.150002,86.449997,80.541580,9518376
2018-09-24,87.000000,87.900002,82.699997,83.500000,77.793205,8101723
2018-09-25,83.000000,84.699997,80.449997,84.250000,78.491951,9917421
2018-09-26,84.699997,85.400002,81.750000,83.849998,78.119278,8849865
2018-09-27,83.750000,84.349998,79.849998,80.449997,74.951653,6606824
2018-09-28,80.599998,81.349998,75.800003,76.900002,71.644279,10815113
2018-10-01,76.699997,81.199997,73.449997,79.150002,73.740501,10042107
2018-10-03,78.949997,83.949997,78.099998,80.599998,75.091400,9719469
2018-10-04,78.849998,81.650002,77.099998,79.099998,73.693916,7927360
2018-10-05,78.900002,79.949997,75.500000,76.800003,71.551117,7698118
2018-10-08,76.599998,77.500000,74.000000,76.000000,70.805794,7324522
2018-10-09,76.699997,77.000000,73.550003,75.400002,70.246796,7103320
2018-10-10,75.300003,80.800003,74.699997,79.349998,73.926834,8179463
2018-10-11,75.349998,78.199997,74.900002,75.599998,70.433128,7185158
2018-10-12,76.550003,78.550003,76.500000,77.150002,71.877197,4733008
2018-10-15,77.400002,78.099998,75.750000,77.449997,72.156685,5148901
2018-10-16,77.750000,80.449997,77.550003,80.050003,74.578995,5700198
2018-10-17,81.550003,81.900002,76.449997,76.750000,71.504532,6810399
2018-10-19,76.199997,78.199997,75.750000,76.800003,71.551117,5077319
2018-10-22,77.500000,77.750000,75.099998,75.400002,70.246796,5588405
2018-10-23,74.800003,75.750000,74.150002,75.400002,70.246796,4610971
2018-10-24,76.500000,77.050003,74.650002,75.949997,70.759201,4629032
2018-10-25,75.050003,76.599998,73.199997,74.900002,69.780975,6155722
2018-10-26,75.699997,75.949997,73.800003,74.550003,69.454895,5300359
2018-10-29,74.800003,81.949997,74.300003,81.099998,75.557236,9190684
2018-10-30,80.750000,88.000000,80.250000,84.349998,78.585114,13718542
2018-10-31,85.500000,86.699997,82.699997,86.000000,80.122345,8568254
2018-11-01,86.099998,87.650002,84.900002,86.050003,80.168930,6032960
2018-11-02,87.000000,90.449997,83.800003,84.250000,78.491951,10494652
2018-11-05,83.800003,86.599998,83.000000,86.000000,80.122345,6286227
2018-11-06,86.500000,87.400002,85.099998,85.900002,80.029182,5154173
2018-11-07,86.900002,86.900002,86.000000,86.349998,80.448418,549292
2018-11-09,86.050003,93.000000,86.050003,91.699997,85.432770,18802084
2018-11-12,92.199997,92.400002,86.300003,87.150002,81.193741,11535975
2018-11-13,85.199997,85.449997,79.599998,81.000000,75.464066,34691996
2018-11-14,81.550003,83.849998,81.099998,82.500000,76.861549,13011145
2018-11-15,82.550003,84.800003,80.750000,84.300003,78.538536,9257148
2018-11-16,84.500000,89.250000,83.349998,88.150002,82.125404,13103035
2018-11-19,88.699997,89.900002,85.099998,87.449997,81.473244,12566521
2018-11-20,86.400002,88.099998,82.900002,85.849998,79.982597,13867586
2018-11-21,86.199997,89.000000,85.750000,87.500000,81.519829,9371109
2018-11-22,87.699997,88.000000,85.349998,86.000000,80.122345,8669323
2018-11-26,86.099998,86.900002,82.300003,84.550003,78.771446,10604798
2018-11-27,85.000000,86.500000,83.849998,85.750000,79.889435,7821923
2018-11-28,86.650002,86.900002,82.500000,82.849998,77.187630,8668702
2018-11-29,83.500000,86.449997,81.750000,85.300003,79.470184,9104052
2018-11-30,85.800003,86.250000,84.099998,84.849998,79.050934,5259126
2018-12-03,84.550003,89.300003,84.550003,88.650002,82.591225,9515981
2018-12-04,89.000000,89.900002,85.300003,85.599998,79.749680,9172839
2018-12-05,85.050003,85.900002,82.650002,83.449997,77.746620,8043908
2018-12-06,82.800003,83.000000,80.550003,80.949997,75.417480,7310142
2018-12-07,81.500000,81.849998,78.300003,79.550003,74.113174,9034326
2018-12-10,78.000000,78.949997,77.099998,77.650002,72.343025,5315105
2018-12-11,76.400002,80.400002,76.099998,79.500000,74.066589,10333920
2018-12-12,81.000000,86.500000,81.000000,85.599998,79.749680,22428523
2018-12-13,86.000000,88.150002,85.650002,86.349998,80.448418,11830019
2018-12-14,86.349998,88.599998,86.050003,88.000000,81.985649,11003643
2018-12-17,88.000000,89.099998,87.449997,88.449997,82.404892,6003651
2018-12-18,87.750000,92.099998,87.699997,91.449997,85.199860,13811770
2018-12-19,92.000000,98.400002,91.500000,97.349998,90.696625,20987292
2018-12-20,97.300003,100.250000,95.599998,97.500000,90.836380,22261202
2018-12-21,98.400002,99.250000,95.400002,97.900002,91.209038,13158696
2018-12-24,98.449997,101.900002,96.699997,100.900002,94.004005,16027081
2018-12-26,100.199997,101.550003,97.050003,100.650002,93.771095,17019629
2018-12-27,103.099998,103.699997,101.050003,101.800003,94.842499,20801965
2018-12-28,103.150002,103.550003,102.050003,102.949997,95.913895,11861429
2018-12-31,103.949997,105.150002,103.300003,104.099998,96.985298,11927697
2019-01-01,104.550003,107.150002,103.699997,106.349998,99.081520,11779714
2019-01-02,106.250000,107.900002,103.800003,104.800003,97.637459,16984848
2019-01-03,104.849998,107.099998,104.000000,105.750000,98.522530,12299077
2019-01-04,106.099998,109.300003,105.300003,108.699997,101.270912,13165314
2019-01-07,109.599998,110.150002,105.699997,106.400002,99.128105,8123090
2019-01-08,105.750000,109.300003,105.099998,108.800003,101.364082,9794700
2019-01-09,109.750000,109.750000,104.199997,105.449997,98.243034,13267879
2019-01-10,105.449997,107.099998,105.150002,106.099998,98.848610,6715175
2019-01-11,106.449997,106.800003,102.650002,103.250000,96.193398,9438958
2019-01-14,102.699997,105.150002,100.699997,104.000000,96.892136,11068475
2019-01-15,104.599998,104.849998,103.050003,104.099998,96.985298,5804977
2019-01-16,104.000000,106.500000,103.650002,105.300003,98.103287,6408689
2019-01-17,105.599998,105.849998,102.800003,104.349998,97.218208,5644751
2019-01-18,104.400002,104.800003,102.250000,102.650002,95.634399,5684518
2019-01-21,102.849998,104.599998,99.650002,100.650002,93.771095,8168459
2019-01-22,99.900002,100.599998,97.400002,97.849998,91.162453,6434495
2019-01-23,98.000000,98.650002,96.349998,97.099998,90.463715,5267979
2019-01-24,97.050003,97.949997,96.349998,97.300003,90.650047,5449282
2019-01-25,97.800003,98.949997,93.750000,94.449997,87.994827,7123775
2019-01-28,94.900002,95.550003,85.400002,90.599998,84.407959,9725854
2019-01-29,85.500000,100.199997,85.500000,98.150002,91.441948,50522736
2019-01-30,98.099998,100.199997,95.550003,99.150002,92.373611,14637481
2019-01-31,99.400002,104.699997,97.300003,102.800003,95.774147,13627828
2019-02-01,106.400002,106.650002,88.849998,94.849998,88.367485,25180357
2019-02-04,94.500000,95.300003,90.400002,93.250000,86.876839,9729435
2019-02-05,93.449997,94.199997,89.349998,90.949997,84.734032,8987658
2019-02-06,91.650002,92.500000,87.349998,91.900002,85.619102,9854021
2019-02-07,91.500000,95.199997,90.800003,92.050003,85.758865,9023352
2019-02-08,91.400002,91.400002,85.900002,86.550003,80.634758,12532032
2019-02-11,86.300003,87.000000,84.050003,84.699997,78.911186,5596055
2019-02-12,84.750000,85.699997,82.300003,82.949997,77.280792,7317079
2019-02-14,81.050003,83.849998,79.900002,82.800003,77.141052,10152708
2019-02-15,82.750000,82.800003,79.300003,80.199997,74.718735,8123327
2019-02-18,80.150002,81.400002,77.500000,78.650002,73.274673,6787894
2019-02-19,78.900002,83.599998,78.650002,81.099998,75.557236,11757622
2019-02-20,81.000000,82.900002,80.750000,81.849998,76.255974,6905288
2019-02-21,85.099998,85.800003,82.949997,83.250000,77.560287,13401572
2019-02-22,82.550003,84.599998,82.550003,83.000000,77.327377,6463463
2019-02-25,83.099998,83.599998,81.949997,82.900002,77.234215,5586375
2019-02-26,81.699997,82.099998,79.449997,81.150002,75.603821,6563004
2019-02-27,81.599998,84.099998,80.500000,81.650002,76.069641,10063668
2019-02-28,82.000000,83.449997,81.599998,83.099998,77.420540,5339038
2019-03-01,83.199997,88.250000,83.150002,87.500000,81.519829,13952084
2019-03-05,88.300003,91.599998,87.800003,90.750000,84.547707,11636958
2019-03-06,90.500000,92.449997,89.199997,89.800003,83.662636,9593204
2019-03-07,90.000000,92.300003,88.449997,90.699997,84.501122,11420223
2019-03-08,90.849998,91.400002,88.400002,88.800003,82.730972,8168221
2019-03-11,88.550003,92.750000,88.550003,92.250000,85.945190,10662535
2019-03-12,93.699997,94.500000,91.449997,92.449997,86.131516,10690301
2019-03-13,92.449997,93.400002,90.500000,92.050003,85.758865,7883178
2019-03-14,92.500000,93.300003,90.849998,92.349998,86.038353,8124067
2019-03-15,92.900002,95.000000,92.699997,93.150002,86.783676,11633846
2019-03-18,93.199997,95.550003,92.800003,95.050003,88.553818,8252958
2019-03-19,95.949997,103.150002,95.300003,100.599998,93.724510,27944350
2019-03-20,100.849998,101.750000,98.550003,100.550003,93.677925,15540939
2019-03-22,101.300003,101.900002,98.050003,98.599998,91.861198,8803257
2019-03-25,97.000000,99.300003,96.449997,98.500000,91.768036,8032860
2019-03-26,99.050003,102.500000,98.800003,101.849998,94.889076,7946467
2019-03-27,102.400002,103.699997,101.550003,103.150002,96.100227,11566973
2019-03-28,103.000000,106.500000,102.800003,105.849998,98.615692,12405815
2019-04-01,104.800003,108.150002,103.900002,104.650002,97.497711,10096894
2019-04-02,104.900002,107.800003,103.300003,105.599998,98.382782,11545420
2019-04-03,106.199997,107.400002,101.349998,101.699997,94.749329,10979283
2019-04-04,101.650002,104.599998,100.500000,101.099998,94.190331,11702884
2019-04-05,101.699997,102.400002,99.500000,100.800003,93.910843,6556229
2019-04-08,101.500000,103.099998,97.900002,98.500000,91.768036,8836550
2019-04-09,98.900002,102.849998,97.550003,102.250000,95.261742,10873813
2019-04-10,101.900002,103.500000,100.199997,100.500000,93.631340,8176340
2019-04-11,100.650002,101.250000,98.699997,99.400002,92.606522,7104380
2019-04-12,99.400002,100.099998,97.699997,99.550003,92.746269,7444154
2019-04-15,99.599998,101.199997,98.800003,99.050003,92.280449,5242978
2019-04-16,99.199997,99.949997,98.550003,98.949997,92.187271,4279945
2019-04-18,99.050003,99.599998,96.050003,96.750000,90.137634,5875305
2019-04-22,96.150002,96.250000,91.800003,92.500000,86.178101,5808200
2019-04-23,91.900002,93.750000,91.250000,91.650002,85.386192,6059894
2019-04-24,92.500000,93.550003,91.000000,93.050003,86.690514,6643762
2019-04-25,93.050003,93.800003,91.500000,91.900002,85.619102,6583138
2019-04-26,92.400002,92.750000,91.250000,92.300003,85.991776,5312132
2019-04-30,92.199997,92.199997,87.000000,88.250000,82.218567,8356446
2019-05-02,87.150002,91.400002,87.150002,88.949997,82.870728,8135666
2019-05-03,89.300003,90.699997,88.949997,89.699997,83.569466,4856188
2019-05-06,87.000000,89.250000,87.000000,87.750000,81.752739,3474372
2019-05-07,88.250000,88.699997,84.250000,84.750000,78.957771,5049227
2019-05-08,84.300003,85.699997,83.349998,83.900002,78.165863,5829503
2019-05-09,83.800003,84.949997,83.400002,84.150002,78.398781,4983729
2019-05-10,84.300003,86.650002,84.250000,85.500000,79.656509,7727714
2019-05-13,85.199997,85.699997,80.050003,80.699997,75.184563,7493263
2019-05-14,80.199997,83.599998,78.949997,82.900002,77.234215,7552638
2019-05-15,83.000000,83.400002,79.849998,80.150002,74.672157,6508069
2019-05-16,80.699997,83.199997,79.300003,81.650002,76.069641,19413943
2019-05-17,81.300003,82.349998,79.599998,81.699997,76.116219,12824142
2019-05-20,86.000000,90.599998,84.550003,89.900002,83.755798,15415198
2019-05-21,90.500000,91.449997,87.150002,88.099998,82.078819,10255781
2019-05-22,88.199997,90.400002,86.900002,89.650002,83.522888,9187082
2019-05-23,93.000000,96.300003,88.400002,89.199997,83.103638,17428202
2019-05-24,90.000000,97.500000,89.900002,96.699997,90.091049,17144294
2019-05-27,96.599998,99.449997,96.250000,98.400002,91.674866,11227667
2019-05-28,98.500000,101.199997,96.800003,99.099998,92.327026,11634268
2019-05-29,98.900002,98.900002,96.000000,96.400002,89.811554,5351808
2019-05-30,96.800003,98.000000,95.199997,97.550003,90.882965,6071809
2019-05-31,98.500000,99.199997,92.800003,94.650002,88.181160,11253655
2019-06-03,94.849998,95.599998,93.250000,95.250000,88.740158,6556319
2019-06-04,94.699997,98.500000,94.500000,96.400002,89.811554,10527117
2019-06-06,95.000000,95.599998,90.099998,90.699997,84.501122,12264824
2019-06-07,90.150002,91.500000,88.650002,89.750000,83.616051,8164977
2019-06-10,90.550003,91.800003,86.550003,87.349998,81.380081,7853962
2019-06-11,87.300003,89.250000,86.650002,88.599998,82.544640,6919788
2019-06-12,88.400002,89.849998,87.300003,87.900002,81.892487,6499682
2019-06-13,87.500000,88.000000,83.949997,86.500000,80.588165,8001310
2019-06-14,86.449997,87.699997,85.599998,86.199997,80.308670,5077698
2019-06-17,86.000000,87.099998,84.099998,84.300003,78.538536,5086736
2019-06-18,84.400002,85.800003,83.349998,84.300003,78.538536,5809152
2019-06-19,84.949997,85.650002,81.900002,82.650002,77.001305,5980486
2019-06-20,83.000000,86.000000,82.199997,85.650002,79.796265,5651858
2019-06-21,85.599998,87.650002,84.500000,86.949997,81.007408,6140827
2019-06-24,87.000000,88.000000,85.849998,86.349998,80.448418,4248911
2019-06-25,86.000000,87.050003,85.750000,86.550003,80.634758,3697250
2019-06-26,86.250000,89.949997,85.900002,88.800003,82.730972,5926489
2019-06-27,88.550003,89.849998,87.449997,88.400002,82.358315,5244888
2019-06-28,88.500000,93.000000,87.849998,90.150002,83.988708,15393522
2019-07-01,90.900002,91.500000,88.849998,90.699997,84.501122,8806840
2019-07-02,91.400002,91.400002,88.400002,90.199997,84.035286,6249938
2019-07-03,90.599998,93.000000,90.050003,92.500000,86.178101,7918243
2019-07-04,93.400002,95.800003,93.349998,94.500000,88.041412,15369281
2019-07-05,95.050003,96.400002,92.449997,93.949997,87.528999,16998790
2019-07-08,93.599998,93.599998,81.599998,84.449997,78.678276,19045284
